SERIALNO,PWGTP,AGEP,RELP,SCHG,SEX,WKHP,ESR,PINCP
2.01E+12,13,36,1,0,1,50,1,80000
2.01E+12,11,2,2,0,2,0,0,0
2.01E+12,22,44,0,0,1,42,1,90020
2.01E+12,20,42,1,0,2,40,1,32000
2.01E+12,14,40,0,0,1,40,1,35160
2.01E+12,19,40,1,6,2,40,1,1900
2.01E+12,14,13,2,4,1,0,0,0
2.01E+12,14,11,2,4,1,0,0,0
2.01E+12,17,59,0,0,1,48,1,40000
2.01E+12,15,57,1,0,2,40,1,18500
2.01E+12,25,19,14,6,2,7,1,4500
2.01E+12,37,32,0,0,2,41,1,40600
2.01E+12,13,80,0,0,2,0,6,74001
2.01E+12,21,64,0,0,2,0,6,29600
2.01E+12,18,83,0,0,1,18,1,67900
2.01E+12,20,83,1,0,2,0,6,17500
2.01E+12,21,25,14,6,1,0,6,0
2.01E+12,14,43,0,0,1,45,1,60000
2.01E+12,11,42,1,0,2,52,1,35000
2.01E+12,12,17,2,5,2,18,3,2000
2.01E+12,10,11,2,4,2,0,0,0
2.01E+12,27,76,0,0,1,0,6,16200
2.01E+12,27,73,1,0,2,0,6,5400
2.01E+12,36,93,6,0,1,0,6,19500
2.01E+12,14,30,0,0,1,40,1,20000
2.01E+12,17,57,4,0,2,40,1,84000
